abbreviation	name	compartment
s_1081	s_1081	NA
s_0757	s_0757	NA
s_0339	s_0339	NA
s_0729	s_0729	NA
s_0730	s_0730	NA
s_0338	s_0338	NA
s_0370	s_0370	NA
s_0341	s_0341	NA
s_1235	s_1235	NA
s_0344	s_0344	NA
s_0346	s_0346	NA
s_0345	s_0345	NA
s_0364	s_0364	NA
s_0566	s_0566	NA
s_0774	s_0774	NA
s_0773	s_0773	NA
s_0196	s_0196	NA
s_0159	s_0159	NA
s_0551	s_0551	NA
s_0554	s_0554	NA
s_0915	s_0915	NA
s_0911	s_0911	NA
s_0916	s_0916	NA
s_0212	s_0212	NA
s_0796	s_0796	NA
s_0913	s_0913	NA
s_0797	s_0797	NA
s_1054	s_1054	NA
s_0800	s_0800	NA
s_0188	s_0188	NA
s_0799	s_0799	NA
s_0180	s_0180	NA
s_0919	s_0919	NA
s_1122	s_1122	NA
s_1521	s_1521	NA
s_1517	s_1517	NA
s_1522	s_1522	NA
s_1518	s_1518	NA
s_1524	s_1524	NA
s_1520	s_1520	NA
s_0036	s_0036	NA
s_0037	s_0037	NA
s_0795	s_0795	NA
s_0223	s_0223	NA
s_0313	s_0313	NA
s_0299	s_0299	NA
s_1253	s_1253	NA
s_1259	s_1259	NA
s_0031	s_0031	NA
s_0225	s_0225	NA
s_0228	s_0228	NA
s_0274	s_0274	NA
s_1273	s_1273	NA
s_1272	s_1272	NA
s_0532	s_0532	NA
s_0325	s_0325	NA
s_0078	s_0078	NA
s_0088	s_0088	NA
s_0213	s_0213	NA
s_1025	s_1025	NA
s_0404	s_0404	NA
s_1027	s_1027	NA
s_0125	s_0125	NA
s_0126	s_0126	NA
s_0127	s_0127	NA
s_0829	s_0829	NA
s_0830	s_0830	NA
s_0129	s_0129	NA
s_1013	s_1013	NA
s_0825	s_0825	NA
s_1061	s_1061	NA
s_0828	s_0828	NA
s_1065	s_1065	NA
s_1059	s_1059	NA
s_1063	s_1063	NA
s_0826	s_0826	NA
s_0130	s_0130	NA
s_0489	s_0489	NA
s_0827	s_0827	NA
s_0131	s_0131	NA
s_0490	s_0490	NA
s_0849	s_0849	NA
s_0920	s_0920	NA
s_0922	s_0922	NA
s_0813	s_0813	NA
s_0814	s_0814	NA
s_0853	s_0853	NA
s_0856	s_0856	NA
s_0924	s_0924	NA
s_0119	s_0119	NA
s_0648	s_0648	NA
s_0862	s_0862	NA
s_0865	s_0865	NA
s_0866	s_0866	NA
s_0867	s_0867	NA
s_0647	s_0647	NA
s_0288	s_0288	NA
s_0289	s_0289	NA
s_0649	s_0649	NA
s_0290	s_0290	NA
s_0120	s_0120	NA
s_1380	s_1380	NA
s_0118	s_0118	NA
s_1379	s_1379	NA
s_0065	s_0065	NA
s_0868	s_0868	NA
s_0897	s_0897	NA
s_0947	s_0947	NA
s_0949	s_0949	NA
s_0951	s_0951	NA
s_0952	s_0952	NA
s_1074	s_1074	NA
s_0955	s_0955	NA
s_1075	s_1075	NA
s_0040	s_0040	NA
s_0925	s_0925	NA
s_0927	s_0927	NA
s_0981	s_0981	NA
s_0982	s_0982	NA
s_0983	s_0983	NA
s_0013	s_0013	NA
s_0984	s_0984	NA
s_0014	s_0014	NA
s_0588	s_0588	NA
s_0589	s_0589	NA
s_0985	s_0985	NA
s_0986	s_0986	NA
s_0075	s_0075	NA
s_1215	s_1215	NA
s_0087	s_0087	NA
s_0668	s_0668	NA
s_1232	s_1232	NA
s_0929	s_0929	NA
s_1003	s_1003	NA
s_0931	s_0931	NA
s_1004	s_1004	NA
s_0072	s_0072	NA
s_0751	s_0751	NA
s_0478	s_0478	NA
s_0553	s_0553	NA
s_1017	s_1017	NA
s_0682	s_0682	NA
s_1016	s_1016	NA
s_0935	s_0935	NA
s_0022	s_0022	NA
s_0021	s_0021	NA
s_0250	s_0250	NA
s_0233	s_0233	NA
s_0246	s_0246	NA
s_0232	s_0232	NA
s_0260	s_0260	NA
s_0237	s_0237	NA
s_0247	s_0247	NA
s_0046	s_0046	NA
s_0257	s_0257	NA
s_0052	s_0052	NA
s_0254	s_0254	NA
s_0234	s_0234	NA
s_0261	s_0261	NA
s_0055	s_0055	NA
s_0128	s_0128	NA
s_1021	s_1021	NA
s_1069	s_1069	NA
s_1072	s_1072	NA
s_0271	s_0271	NA
s_1056	s_1056	NA
s_1112	s_1112	NA
s_0407	s_0407	NA
s_1100	s_1100	NA
s_1085	s_1085	NA
s_0408	s_0408	NA
s_1102	s_1102	NA
s_0571	s_0571	NA
s_0433	s_0433	NA
s_0573	s_0573	NA
s_1103	s_1103	NA
s_1106	s_1106	NA
s_0332	s_0332	NA
s_1105	s_1105	NA
s_1107	s_1107	NA
s_2526	s_2526	NA
s_2527	s_2527	NA
s_2528	s_2528	NA
s_2530	s_2530	NA
s_2529	s_2529	NA
s_1101	s_1101	NA
s_0089	s_0089	NA
s_1108	s_1108	NA
s_1111	s_1111	NA
s_0572	s_0572	NA
s_1281	s_1281	NA
s_1282	s_1282	NA
s_0182	s_0182	NA
s_0753	s_0753	NA
s_0595	s_0595	NA
s_0620	s_0620	NA
s_0622	s_0622	NA
s_1018	s_1018	NA
s_2537	s_2537	NA
s_0019	s_0019	NA
s_1126	s_1126	NA
s_1268	s_1268	NA
s_1153	s_1153	NA
s_1155	s_1155	NA
s_2538	s_2538	NA
s_1165	s_1165	NA
s_1166	s_1166	NA
s_2539	s_2539	NA
s_2540	s_2540	NA
s_2542	s_2542	NA
s_2541	s_2541	NA
s_1288	s_1288	NA
s_2544	s_2544	NA
s_2546	s_2546	NA
s_2547	s_2547	NA
s_2549	s_2549	NA
s_2548	s_2548	NA
s_2545	s_2545	NA
s_1191	s_1191	NA
s_2550	s_2550	NA
s_1192	s_1192	NA
s_0034	s_0034	NA
s_0020	s_0020	NA
s_1331	s_1331	NA
s_0936	s_0936	NA
s_0859	s_0859	NA
s_1199	s_1199	NA
s_0938	s_0938	NA
s_1200	s_1200	NA
s_1239	s_1239	NA
s_0599	s_0599	NA
s_1237	s_1237	NA
s_1227	s_1227	NA
s_1294	s_1294	NA
s_1226	s_1226	NA
s_1291	s_1291	NA
s_0207	s_0207	NA
s_0103	s_0103	NA
s_0091	s_0091	NA
s_0107	s_0107	NA
s_0111	s_0111	NA
s_0108	s_0108	NA
s_0112	s_0112	NA
s_0109	s_0109	NA
s_0113	s_0113	NA
s_1208	s_1208	NA
s_0093	s_0093	NA
s_0114	s_0114	NA
s_0095	s_0095	NA
s_0116	s_0116	NA
s_0105	s_0105	NA
s_0094	s_0094	NA
s_0100	s_0100	NA
s_0115	s_0115	NA
s_0104	s_0104	NA
s_0092	s_0092	NA
s_0099	s_0099	NA
s_1023	s_1023	NA
s_0485	s_0485	NA
s_1020	s_1020	NA
s_0090	s_0090	NA
s_0110	s_0110	NA
s_1223	s_1223	NA
s_1222	s_1222	NA
s_0473	s_0473	NA
s_1236	s_1236	NA
s_1224	s_1224	NA
s_0477	s_0477	NA
s_1238	s_1238	NA
s_0944	s_0944	NA
s_1221	s_1221	NA
s_1068	s_1068	NA
s_1349	s_1349	NA
s_1304	s_1304	NA
s_1303	s_1303	NA
s_0421	s_0421	NA
s_0264	s_0264	NA
s_0266	s_0266	NA
s_0663	s_0663	NA
s_1310	s_1310	NA
s_0085	s_0085	NA
s_0666	s_0666	NA
s_1228	s_1228	NA
s_0739	s_0739	NA
s_1233	s_1233	NA
s_0600	s_0600	NA
s_0496	s_0496	NA
s_1225	s_1225	NA
s_0273	s_0273	NA
s_1067	s_1067	NA
s_0425	s_0425	NA
s_0080	s_0080	NA
s_0318	s_0318	NA
s_0158	s_0158	NA
s_1052	s_1052	NA
s_1048	s_1048	NA
s_1123	s_1123	NA
s_1248	s_1248	NA
s_0166	s_0166	NA
s_1125	s_1125	NA
s_1242	s_1242	NA
s_0132	s_0132	NA
s_2522	s_2522	NA
s_2524	s_2524	NA
s_2523	s_2523	NA
s_2525	s_2525	NA
s_2551	s_2551	NA
s_1049	s_1049	NA
s_0098	s_0098	NA
s_0321	s_0321	NA
s_0209	s_0209	NA
s_0941	s_0941	NA
s_0939	s_0939	NA
s_1260	s_1260	NA
s_1266	s_1266	NA
s_1078	s_1078	NA
s_0395	s_0395	NA
s_0392	s_0392	NA
s_0426	s_0426	NA
s_0762	s_0762	NA
s_0759	s_0759	NA
s_1270	s_1270	NA
s_1271	s_1271	NA
s_1276	s_1276	NA
s_1274	s_1274	NA
s_0320	s_0320	NA
s_0720	s_0720	NA
s_1283	s_1283	NA
s_1285	s_1285	NA
s_0335	s_0335	NA
s_1523	s_1523	NA
s_0563	s_0563	NA
s_1519	s_1519	NA
s_0482	s_0482	NA
s_0568	s_0568	NA
s_0709	s_0709	NA
s_0592	s_0592	NA
s_1412	s_1412	NA
s_0623	s_0623	NA
s_0561	s_0561	NA
s_0220	s_0220	NA
s_0942	s_0942	NA
s_0471	s_0471	NA
s_0665	s_0665	NA
s_1312	s_1312	NA
s_1305	s_1305	NA
s_1306	s_1306	NA
s_1256	s_1256	NA
s_1309	s_1309	NA
