abbreviation	equation	reversible	compartment	lowbnd	uppbnd	obj_coef	rule	subsystem
r_0978	(1) s_1091 + (1) s_1256 -> (1) s_1096 + (1) s_1309	irreversible	NA	  0.00	1000.00	  0.00	(YBR213W)	
r_0979	(1) s_1309 + (1) s_0831 -> (1) s_1308	irreversible	NA	  0.00	1000.00	  0.00	(YBR213W)	
r_0980	(1) s_0692 + (1) s_0659 -> (1) s_0657 + (1) s_1338	irreversible	NA	  0.00	1000.00	  0.00	(YEL047C)	
r_0981	(1) s_0380 + (1) s_1321 -> (1) s_0514 + (1) s_1049	irreversible	NA	  0.00	1000.00	  0.00		
r_0982	(1) s_1297 + (1) s_1268 -> (1) s_0305 + (1) s_1321	irreversible	NA	  0.00	1000.00	  0.00	(YPR069C)	
r_0983	(1) s_1297 + (1) s_1321 -> (1) s_0305 + (1) s_1323	irreversible	NA	  0.00	1000.00	  0.00	(YLR146C)	
r_0984	(1) s_1326 -> (1) s_1125 + (1) s_0789	irreversible	NA	  0.00	1000.00	  0.00	(YDR294C)	
r_0985	(1) s_1248 -> (1) s_1247 + (1) s_1208	irreversible	NA	  0.00	1000.00	  0.00	((YJL134W) or (YKR053C))	
r_0986	(1) s_1326 -> (1) s_1325 + (1) s_1208	irreversible	NA	  0.00	1000.00	  0.00	((YJL134W) or (YKR053C))	
r_0987	(1) s_1247 + (1) s_0447 -> (1) s_1248 + (1) s_0401	irreversible	NA	  0.00	1000.00	  0.00	((YLR260W) or (YOR171C))	
r_0988	(1) s_1325 + (1) s_0447 -> (1) s_1326 + (1) s_0401	irreversible	NA	  0.00	1000.00	  0.00	((YLR260W) or (YOR171C))	
r_0989	(1) s_0502 <-> (1) s_1382	reversible	NA	-1000.00	1000.00	  0.00		
r_0990	(1) s_0501 <-> (1) s_1381	reversible	NA	-1000.00	1000.00	  0.00		
r_0991	(1) s_1161 + (1) s_1088 + (1) s_1328 -> (1) s_0041 + (1) s_1083	irreversible	NA	  0.00	1000.00	  0.00	(((YGR175C) and (YIL043C) and (YNL111C)) or ((YGR175C) and (YKL150W) and (YNL111C)))	
r_0992	(1) s_1097 + (1) s_1161 + (1) s_1328 -> (1) s_1092 + (1) s_0041	irreversible	NA	  0.00	1000.00	  0.00	((YGR175C) and (YHR042W))	
r_0993	(1) s_1096 + (2) s_0195 -> (1) s_1091 + (2) s_0605 + (1) s_1327	irreversible	NA	  0.00	1000.00	  0.00	(YHR190W)	
r_0994	(1) s_1096 + (1) s_1160 + (1) s_1334 -> (1) s_1091 + (1) s_1147	irreversible	NA	  0.00	1000.00	  0.00	(YGL055W)	
r_0995	(1) s_0639 + (1) s_0667 <-> (1) s_0644	reversible	NA	-1000.00	1000.00	  0.00	((YKL140W) or (YLL012W))	
r_0996	(1) s_0667 + (1) s_0673 <-> (1) s_0676	reversible	NA	-1000.00	1000.00	  0.00	((YKL140W) or (YLL012W))	
r_0997	(1) s_0667 + (1) s_1451 <-> (1) s_1454	reversible	NA	-1000.00	1000.00	  0.00	((YKL140W) or (YLL012W))	
r_0998	(1) s_0663 + (1) s_0635 <-> (1) s_0641	reversible	NA	-1000.00	1000.00	  0.00	(YLR020C)	
r_0999	(1) s_0663 + (1) s_0669 <-> (1) s_0674	reversible	NA	-1000.00	1000.00	  0.00	(YLR020C)	
r_1000	(1) s_0663 + (1) s_1447 <-> (1) s_1452	reversible	NA	-1000.00	1000.00	  0.00	(YLR020C)	
r_1001	(1) s_1410 + (1) s_1340 <-> (1) s_1409 + (1) s_0694	reversible	NA	-1000.00	1000.00	  0.00	(((YDR178W) and (YJL045W) and (YKL141W) and (YLL041C)) or ((YDR178W) and (YKL141W) and (YKL148C) and (YLL041C)))	
r_1002	(1) s_0660 + (1) s_1410 <-> (1) s_0658 + (1) s_1409	reversible	NA	-1000.00	1000.00	  0.00	(((YDR178W) and (YJL045W) and (YKL141W) and (YLL041C)) or ((YDR178W) and (YKL141W) and (YKL148C) and (YLL041C)))	
r_1003	(1) s_0449 + (1) s_0517 + (1) s_1340 <-> (1) s_1211 + (1) s_1344 + (1) s_0403	reversible	NA	-1000.00	1000.00	  0.00	((YGR244C) and (YOR142W))	
r_1004	(1) s_1091 + (1) s_1341 -> (1) s_1096 + (1) s_1338	irreversible	NA	  0.00	1000.00	  0.00	(YBR006W)	
r_1006	(1) s_0446 + (1) s_1347 -> (1) s_0605 + (1) s_0304	irreversible	NA	  0.00	1000.00	  0.00	(YJR010W)	
r_1007	(1) s_0400 + (1) s_1347 <-> (1) s_1207 + (1) s_0304	reversible	NA	-1000.00	1000.00	  0.00	(YCL050C)	
r_1008	(3) s_1091 + (1) s_0805 <-> (3) s_1096 + (1) s_1349	reversible	NA	-1000.00	1000.00	  0.00	((YFR030W) or (YJR137C))	
r_1009	(1) s_0452 + (1) s_1353 -> (1) s_0406 + (1) s_1214 + (1) s_1354	irreversible	NA	  0.00	1000.00	  0.00	(YLL048C)	
r_1010	(1) s_0185 + (1) s_1160 + (1) s_1351 -> (1) s_0470 + (1) s_1338 + (1) s_1349 + (1) s_0428	irreversible	NA	  0.00	1000.00	  0.00	(YLL057C)	
r_1011	(1) s_0016 -> (1) s_0327	irreversible	NA	  0.00	1000.00	  0.00	((YAL044C) and (YBR221C) and (YDR019C) and (YER178W) and (YMR189W))	
r_1012	(1) s_0446 + (1) s_0899 + (1) s_0309 <-> (1) s_0400 + (1) s_1207 + (1) s_0311	reversible	NA	-1000.00	1000.00	  0.00	(YOR241W)	
r_1014	(1) s_1368 -> (1) s_1207 + (1) s_1363	irreversible	NA	  0.00	1000.00	  0.00		
r_1016	(1) s_1363 -> (1) s_0276 + (1) s_0313	irreversible	NA	  0.00	1000.00	  0.00		
r_1017	(1) s_0446 + (1) s_1363 -> (1) s_0434 + (1) s_1365	irreversible	NA	  0.00	1000.00	  0.00	(YOR143C)	
r_1018	(1) s_0446 + (1) s_1365 -> (1) s_0400 + (1) s_1370	irreversible	NA	  0.00	1000.00	  0.00	(YOR143C)	
r_1019	(1) s_0299 + (1) s_0273 -> (1) s_0605 + (1) s_1368	irreversible	NA	  0.00	1000.00	  0.00	(YPL214C)	
r_1020	(1) s_0446 + (1) s_1368 <-> (1) s_0400 + (1) s_1365	reversible	NA	-1000.00	1000.00	  0.00		
r_1021	(1) s_0740 + (1) s_0427 + (1) s_0889 + (1) s_1117 -> (1) s_1277 + (1) s_0430 + (1) s_0470 + (1) s_0369 + (1) s_0701 + (1) s_0299	irreversible	NA	  0.00	1000.00	  0.00		
r_1022	(1) s_0740 + (1) s_0889 + (1) s_1117 + (1) s_0561 -> (1) s_1277 + (1) s_0430 + (1) s_0470 + (1) s_0369 + (1) s_0701 + (1) s_0299	irreversible	NA	  0.00	1000.00	  0.00		
r_1023	(1) s_1523 + (1) s_0803 -> (1) s_1519	irreversible	NA	  0.00	1000.00	  0.00	(((YGR209C) and (YIL010W)) or ((YIL010W) and (YLR043C)))	
